Sample	CNA
MB-0269	-2.824312953
MB-0270	0.009745568
MB-0272	-0.762538632
MB-0273	-0.278281256
MB-0275	0.014009669
MB-0278	-0.76220462
MB-0279	-0.98933643
MB-0280	0.977293412
MB-0282	-0.370220253
MB-0284	-1.558718924
MB-0285	-1.474727765
MB-0286	-0.628566848
MB-0287	-0.391055237
MB-0288	0.01462725
MB-0289	-2.657331104
MB-0290	-0.900468144
MB-0291	0.615874739
MB-0292	0.839605018
MB-0293	-1.166481185
MB-0294	1.647017108
MB-0295	-0.14496858
MB-0301	-0.964403963
MB-0302	0.461175727
MB-0303	-2.743251455
MB-0304	0.441592063
MB-0305	0.398064455
MB-0306	0.870021095
MB-0307	0.451053252
MB-0308	-0.590262258
MB-0309	-0.504706621
MB-0310	0.892525711
MB-0311	1.175553839
MB-0312	0.063149771
MB-0313	0.571300691
MB-0314	-0.478538232
MB-0315	0.985762363
MB-0316	0.929500903
MB-0317	-1.063867755
MB-0318	0.510686098
MB-0319	-0.058531297
MB-0320	0.093498661
MB-0321	1.916595664
MB-0322	0.806210243
MB-0324	0.640378607
MB-0325	-1.418426677
MB-0328	1.274602133
MB-0336	0.336361357
MB-0339	-0.44012
MB-0340	0.916196394
MB-0341	1.493372013
MB-0342	-1.349290524
MB-0343	1.146139883
MB-0344	-0.885311986
MB-0345	0.656631507
MB-0346	0.839092313
MB-0348	-0.699501594
MB-0349	0.088287824
MB-0350	-2.581266176
MB-0352	0.853699497
MB-0353	0.912160015
MB-0354	-0.846522819
MB-0356	0.276094211
MB-0358	-0.959949532
MB-0359	-0.643830261
MB-0360	-0.501600396
MB-0361	1.570602082
MB-0362	0.191795508
MB-0363	-0.976605406
MB-0364	0.930551736
MB-0365	0.913158988
MB-0366	1.062753326
MB-0367	-2.06717959
MB-0368	0.708454804
MB-0369	-0.963337764
MB-0370	0.707173733
MB-0371	0.821810159
MB-0372	1.640627334
MB-0373	1.09902046
MB-0374	0.228488388
MB-0375	0.469218312
MB-0377	-0.397854526
MB-0378	-0.655923808
MB-0379	-0.387284568
MB-0380	0.233548572
MB-0381	-0.196727187
MB-0382	-1.094250941
MB-0383	0.780567021
MB-0384	0.305980706
MB-0385	0.123128366
MB-0386	1.249316947
MB-0388	-0.639523935
MB-0389	-1.322350839
MB-0391	-2.855271612
MB-0392	0.034975995
MB-0393	-0.530752721
MB-0394	0.244061761
MB-0395	1.950725315
MB-0396	1.881398554
MB-0397	-0.013253357
MB-0398	-0.073325628
MB-0399	1.450816614
MB-0400	-0.43797247
MB-0401	-0.807243574
MB-0402	-1.074065458
MB-0404	1.61038545
MB-0406	2.120819051
MB-0410	-0.576035491
MB-0411	-0.803384513
MB-0412	0.767993743
MB-0413	-0.619716842
MB-0414	0.114207289
MB-0417	-0.161990796
MB-0418	2.916944554
MB-0419	-0.171966354
MB-0420	0.735596109
MB-0421	1.224170027
MB-0422	0.739771296
MB-0424	-1.629134747
MB-0425	-0.36078831
MB-0426	-0.782510515
MB-0427	0.361303393
MB-0428	-0.781937367
MB-0429	-0.221197241
MB-0431	-0.24881366
MB-0434	-0.053126681
MB-0436	1.156982428
MB-0437	-1.102350708
MB-0438	-1.319939479
MB-0439	-0.131846606
MB-0440	0.675728375
MB-0442	-1.003278324
MB-0443	-0.944340352
MB-0444	-0.109826244
MB-0445	1.188854558
MB-0446	0.44002431
MB-0449	0.97962733
MB-0451	0.913508073
MB-0452	0.998291658
MB-0453	0.810117258
MB-0454	-1.533392534
MB-0455	0.058458368
MB-0458	-0.209712738
MB-0459	2.063628306
MB-0460	-1.737521242
MB-0462	-0.183360827
MB-0463	-0.781766966
MB-0464	0.171322832
MB-0465	2.946655867
MB-0466	1.110219005
MB-0467	1.459974956
MB-0468	0.32651535
MB-0469	0.60392092
MB-0470	-2.700471093
MB-0471	-0.456942046
MB-0472	-1.091644161
MB-0474	-0.450339697
MB-0475	0.814320415
MB-0476	-2.06552718
MB-0478	-1.145562811
MB-0479	0.237870877
MB-0480	0.313802192
MB-0481	0.285176812
MB-0482	-0.530573381
MB-0483	0.593490143
MB-0484	2.784614369
MB-0485	0.86380669
MB-0486	-0.940731123
MB-0487	0.664097849
MB-0488	-0.124351325
MB-0489	-1.625710777
MB-0490	-0.568415992
MB-0491	0.278210587
MB-0492	-0.480741124
MB-0494	-0.560700149
MB-0495	-2.1634479
MB-0496	-0.140934319
MB-0497	0.166195566
MB-0500	1.039220691
MB-0501	-0.526268702
MB-0502	-2.929649633
MB-0503	0.336891874
MB-0504	-0.521027391
MB-0505	-0.85146261
MB-0506	1.666301826
MB-0507	0.046972047
MB-0508	-0.136333791
MB-0509	-0.457881555
MB-0510	0.604806857
MB-0511	-0.563744011
MB-0512	-0.642550999
MB-0513	-0.748286709
MB-0514	0.090207261
MB-0516	-1.1592956
MB-0517	0.396862472
MB-0519	0.158392255
MB-0521	-0.811954432
MB-0522	1.033853825
MB-0524	1.303995244
MB-0525	-1.01955692
MB-0526	0.08824734
MB-0527	-1.927325472
MB-0528	-0.677874542
MB-0529	0.720408418
MB-0531	-0.765132914
MB-0532	0.740961755
MB-0534	-0.486040062
MB-0535	-0.926339303
MB-0536	-0.126390508
MB-0537	-0.538007516
MB-0538	1.133242065
MB-0540	-2.417033016
MB-0541	0.779871533
MB-0542	0.993696171
MB-0544	-0.824795864
MB-0545	-1.213796682
MB-0550	1.092744958
MB-0551	0.336946618
MB-0552	0.509047538
MB-0553	1.543383356
MB-0554	1.122383304
MB-0558	-0.391623182
MB-0559	0.39102636
MB-0568	-0.479999201
MB-0569	-0.01618889
MB-0570	0.036379407
MB-0571	-0.551211496
MB-0573	-1.859007454
MB-0574	0.399479578
MB-0575	0.263252291
MB-0576	-0.447220368
MB-0577	1.452342424
MB-0578	-0.267296129
MB-0579	0.363193077
MB-0580	-0.797989265
MB-0581	-0.997925738
MB-0582	-0.064785637
MB-0583	-1.247352805
MB-0584	-0.226485151
MB-0585	0.899867062
MB-0586	0.923379521
MB-0587	0.374156118
MB-0588	1.369922337
MB-0589	-0.378938595
MB-0590	1.737048108
MB-0591	-0.01526549
MB-0593	0.477709457
MB-0594	-0.529542451
MB-0596	0.414998249
MB-0597	0.844110033
MB-0598	0.827007906
MB-0599	-0.105277779
MB-0600	1.244570301
MB-0601	0.764303303
MB-0603	-0.001578476
MB-0605	0.239120019
MB-0606	-1.461191865
MB-0607	-0.596096061
MB-0608	-0.872270245
MB-0609	1.725047768
MB-0610	-0.160452916
MB-0611	-0.45032709
MB-0613	-0.999465183
MB-0614	-1.305560593
MB-0615	0.562168674
MB-0616	0.698105741
MB-0617	-2.970048826
MB-0618	-0.964664889
MB-0619	-0.680721
MB-0620	0.031133433
MB-0621	-0.707903982
MB-0623	-0.255214545
MB-0624	0.673483454
MB-0626	1.790917415
MB-0627	-0.765132914
MB-0628	-0.449651282
MB-0630	1.283037602
MB-0631	-0.90877236
MB-0632	0.128102174
MB-0634	-1.761095166
MB-0636	-1.023927625
MB-0637	0.512026785
MB-0638	-1.451405561
MB-0639	0.128287376
MB-0640	-1.129926808
MB-0641	-0.949121177
MB-0642	-1.33613433
MB-0643	0.630116508
MB-0644	-1.139745884
MB-0646	0.528071673
MB-0649	0.164792913
MB-0650	-1.49560501
MB-0652	1.074275253
MB-0653	1.690804849
MB-0654	-0.751060812
MB-0655	-0.466913344
MB-0656	1.05194049
MB-0657	-0.149747501
MB-0658	-0.59550908
MB-0659	1.112502892
MB-0660	0.535447505
MB-0661	-0.02687197
MB-0662	0.373329658
MB-0663	1.879319467
MB-0664	1.458349308
MB-0666	0.549531648
MB-0869	0.25030525
MB-0872	0.941257784
MB-0874	0.818719705
MB-0877	0.864170259
MB-0880	0.40926401
MB-0882	-0.071034226
MB-0884	1.573663922
MB-0891	-1.118378713
MB-0893	-2.98203204
MB-0895	0.591803072
MB-0897	0.430613339
MB-0899	-0.534955232
MB-0901	0.242111694
MB-0904	-0.608756677
MB-0906	0.144124107
MB-2513	-0.75536782
MB-2517	-0.857929465
MB-2536	-0.875059651
MB-2556	-2.540301253
MB-2564	-1.394070177
MB-2610	0.297061306
MB-2613	1.861489767
MB-2614	0.860829942
MB-2616	-0.808867879
MB-2617	0.215166129
MB-2618	0.423618204
MB-2624	-0.889406838
MB-2626	-0.156614232
MB-2629	-0.196727187
MB-2632	-2.021115211
MB-2634	0.71158364
MB-2642	1.264914388
MB-2643	-2.845195997
MB-2645	-1.027151771
MB-2669	-0.261921612
MB-2686	-0.204395016
MB-2705	-0.549554441
MB-2708	1.374244393
MB-2711	-1.045623325
MB-2712	0.467020158
MB-2718	1.452342424
MB-2721	0.455062126
MB-2724	-2.988223129
MB-2725	-0.389035572
MB-2728	1.637864693
MB-2730	0.72658044
MB-2735	-1.082854088
MB-2742	-0.664193102
MB-2744	-0.335962234
MB-2745	-0.083814215
MB-2747	-0.730770278
MB-2749	-1.030517643
MB-2750	-0.304504574
MB-2752	-0.717993758
MB-2753	-2.553654825
MB-2754	0.486801674
MB-2758	-0.299029775
MB-2760	0.597773517
MB-2763	0.311506269
MB-2764	-1.877794279
MB-2765	-0.499704716
MB-2767	1.211797448
MB-2769	-0.587013156
MB-2770	-1.038001301
MB-2771	-2.093623806
MB-2772	-0.134280416
MB-2774	0.348765172
MB-2779	0.271633082
MB-2781	0.32928081
MB-2786	0.125542068
MB-2790	0.40455533
MB-2791	-0.940046587
MB-2792	1.594518253
MB-2793	-0.030002906
MB-2795	-0.472967658
MB-2796	-0.534586699
MB-2797	-1.234726826
MB-2801	-0.225616303
MB-2803	-1.263401663
MB-2814	-0.922060552
MB-2815	-0.621405668
MB-2819	-0.397134366
MB-2820	-0.477044633
MB-2821	-2.771666041
MB-2823	-0.871641092
MB-2827	0.689360207
MB-2833	-0.786298719
MB-2834	-0.441888028
MB-2835	-0.520895701
MB-2838	-0.576517937
MB-2840	-0.623158985
MB-2842	0.726757486
MB-2843	-1.353251343
MB-2844	1.161664252
MB-2845	-1.770716869
MB-2846	0.133689398
MB-2847	-0.12014829
MB-2848	-0.938066459
MB-2849	1.095732721
MB-2850	-0.531274277
MB-2851	-0.617312925
MB-2853	0.375659481
MB-2854	0.010945427
MB-2857	0.364662105
MB-2858	0.726371631
MB-2863	0.271001163
MB-2867	-0.581145039
MB-2895	0.530585319
MB-2896	0.130275523
MB-2900	-0.437990419
MB-2901	1.429396998
MB-2904	0.85614199
MB-2912	1.286957209
MB-2916	-1.066240963
MB-2917	0.720408418
MB-2919	-0.592826834
MB-2922	1.867650477
MB-2923	-0.668492054
MB-2927	1.047143919
MB-2929	1.383626881
MB-2931	-0.847968379
MB-2932	-0.60818202
MB-2933	-0.289242038
MB-2939	0.184702606
MB-2944	-0.293421308
MB-2947	-1.257098163
MB-2951	-1.062199946
MB-2952	1.16768046
MB-2953	-0.82998472
MB-2954	-0.031130321
MB-2957	1.081130147
MB-2960	0.464180195
MB-2963	-1.082229463
MB-2964	1.502971304
MB-2966	-0.509334608
MB-2969	0.319099362
MB-2970	-0.303117264
MB-2971	-1.075481205
MB-2977	-0.155360359
MB-2983	1.280035635
MB-2984	0.024969986
MB-2990	-0.240903631
MB-2993	-1.453773481
MB-2994	1.322336418
MB-2996	0.705660727
MB-2999	0.506218233
MB-3001	-0.436897971
MB-3002	-1.28015724
MB-3005	-0.54357674
MB-3006	-1.393935997
MB-3007	-0.523507413
MB-3008	-0.147417862
MB-3013	-0.718386225
MB-3014	0.801723097
MB-3016	0.139881932
MB-3021	-1.64477065
MB-3025	-0.045270116
MB-3026	-0.779017148
MB-3028	-0.754865505
MB-3031	0.062501887
MB-3032	-1.207682799
MB-3033	-0.792235617
MB-3035	-0.538454294
MB-3037	-0.112983216
MB-3046	-0.31763726
MB-3049	-0.962349571
MB-3050	-1.582996718
MB-3057	1.588470225
MB-3058	-0.08140083
MB-3060	-0.251647873
MB-3062	-1.659417868
MB-3063	1.179089146
MB-3064	-0.911051939
MB-3067	-0.346009625
MB-3079	-0.98908794
MB-3083	-0.036923008
MB-3085	0.496323431
MB-3088	0.393402912
MB-3092	-0.101379548
MB-3102	2.037363117
MB-3103	0.123128366
MB-3104	1.732777313
MB-3105	-1.427444414
MB-3110	0.432275946
MB-3121	-2.156825
MB-3122	-0.282327024
MB-3123	1.627176206
MB-3153	1.9727089
MB-3165	0.809424454
MB-3167	1.355046215
MB-3171	0.112430174
MB-3181	0.163080641
MB-3211	0.213062441
MB-3218	1.001029683
MB-3222	-0.457902347
MB-3228	-0.429841817
MB-3235	-0.367242586
MB-3252	-0.539578982
MB-3254	-0.211839623
MB-3266	0.842250553
MB-3271	0.596554205
MB-3272	-1.27920073
MB-3275	1.384436953
MB-3277	0.876724531
MB-3292	-0.311533693
MB-3295	0.696485086
MB-3297	-0.048059947
MB-3298	-0.000377679
MB-3300	-0.691702455
MB-3301	0.169321335
MB-3303	0.453208149
MB-3328	0.063529548
MB-3329	0.194518361
MB-3341	-0.822228601
MB-3344	0.766907429
MB-3350	-1.160556614
MB-3351	-1.1592956
MB-3355	0.76649658
MB-3357	0.524995558
MB-3360	-0.956312901
MB-3361	0.936393787
MB-3363	-0.14343593
MB-3365	-0.810554062
MB-3367	-1.885267499
MB-3371	1.110145679
MB-3378	-1.191996119
MB-3379	0.608310466
MB-3381	0.206143953
MB-3382	-0.71248675
MB-3383	-1.724099341
MB-3386	-0.06038852
MB-3388	1.906880114
MB-3389	1.943119689
MB-3395	-0.920133035
MB-3396	1.7776557
MB-3402	1.578212329
MB-3403	-0.604106723
MB-3412	-1.554558454
MB-3417	-1.155958521
MB-3429	-0.743449305
MB-3430	-0.899197974
MB-3435	-0.807781203
MB-3436	0.003179941
MB-3437	-0.414171044
MB-3439	-1.192293169
MB-3450	-1.516572287
MB-3452	-0.399954671
MB-3453	1.187101691
MB-3459	0.113568301
MB-3462	-1.021366903
MB-3466	0.848203715
MB-3467	0.653151294
MB-3470	0.104696142
MB-3476	1.014082633
MB-3479	-1.198636941
MB-3487	-0.01999146
MB-3488	2.249684459
MB-3490	-0.307903721
MB-3492	0.222308143
MB-3497	1.507501899
MB-3500	1.162972599
MB-3502	-0.437101786
MB-3506	1.686531942
MB-3510	0.034414358
MB-3525	0.434282565
MB-3526	1.711952052
MB-3528	-0.717566205
MB-3530	-0.193268912
MB-3536	-0.449809263
MB-3545	0.042987291
MB-3548	-0.785214162
MB-3556	-1.607421277
MB-3567	-0.208637309
MB-3576	0.947550295
MB-3582	-1.03932747
MB-3600	1.232265483
MB-3606	-0.352559357
MB-3614	0.065117579
MB-3702	-0.735692681
MB-3706	0.707903648
MB-3707	-2.161003445
MB-3711	-0.635920169
MB-3748	-0.930107109
MB-3752	-2.766279593
MB-3754	0.415208182
MB-3781	-0.963127475
MB-3797	-1.315465221
MB-3824	-0.419222703
MB-3838	-0.547637905
MB-3840	1.514436895
MB-3842	-0.734321933
MB-3850	-1.872176393
MB-3852	-1.753132757
MB-3854	0.720900411
MB-3865	-0.854023638
MB-3866	-0.368242049
MB-3871	0.520755032
MB-3874	-0.309496461
MB-3978	1.272943892
MB-4000	-0.678222672
MB-4001	-0.238039507
MB-4003	0.779002671
MB-4004	-0.730072872
MB-4005	-1.295188512
MB-4008	-0.018546177
MB-4010	-0.501555776
MB-4011	0.541473759
MB-4012	2.495899266
MB-4015	-2.988223129
MB-4017	1.47310599
MB-4018	-0.804551524
MB-4024	-0.340992883
MB-4033	-1.475911928
MB-4046	0.410477293
MB-4059	-0.973399062
MB-4079	0.194341552
MB-4091	0.747210773
MB-4098	0.353618179
MB-4119	0.963356459
MB-4120	-0.648046666
MB-4126	1.796572993
MB-4127	0.99156053
MB-4139	-0.366930768
MB-4140	0.828162188
MB-4141	-0.094692242
MB-4145	0.155531128
MB-4146	1.48893242
MB-4148	0.145767613
MB-4154	-1.478036207
MB-4171	0.802693274
MB-4173	-0.336604007
MB-4189	-0.064171678
MB-4212	0.715707559
MB-4213	-0.463726215
MB-4222	1.672071635
MB-4230	-0.869004336
MB-4233	1.510735453
MB-4234	-0.344856023
MB-4235	0.213790041
MB-4236	0.208213576
MB-4250	-0.097743425
MB-4254	2.214206028
MB-4264	-0.040599418
MB-4266	1.432504579
MB-4270	1.181167429
MB-4274	1.010968997
MB-4276	1.576111225
MB-4278	0.044829792
MB-4281	1.440674789
MB-4282	1.939951405
MB-4283	0.248470573
MB-4289	0.043990487
MB-4292	1.21928485
MB-4293	0.235570241
MB-4300	3.108168687
MB-4303	0.454278408
MB-4306	-0.19041719
MB-4310	1.032800498
MB-4317	0.556414247
MB-4318	1.250813951
MB-4322	0.32207502
MB-4323	1.546559319
MB-4324	2.239142341
MB-4328	-0.517256328
MB-4329	-0.948093406
MB-4331	1.289924539
MB-4332	2.45447794
MB-4333	0.342159281
MB-4339	-0.655151277
MB-4341	0.780038512
MB-4342	-0.579177749
MB-4343	0.937104808
MB-4348	2.270272719
MB-4350	1.479137628
MB-4351	1.392282368
MB-4353	1.835418354
MB-4354	0.107543424
MB-4357	0.372372334
MB-4360	1.727949112
MB-4362	0.950690495
MB-4368	1.161782523
MB-4374	0.723830567
MB-4375	1.315370961
MB-4381	0.620298833
MB-4390	-0.590262258
MB-4395	0.961246524
MB-4407	2.527915004
MB-4408	1.481852847
MB-4416	-0.605141858
MB-4417	-0.300151731
MB-4418	0.721991555
MB-4421	0.262397265
MB-4426	1.245621344
MB-4434	1.393694635
MB-4442	0.977293412
MB-4484	-0.484459049
MB-4529	-0.873960603
MB-4548	1.617352963
MB-4557	1.110797015
MB-4564	1.881398554
MB-4578	0.148690429
MB-4591	-0.154240265
MB-4593	1.320705115
MB-4598	0.498408284
MB-4599	0.169033588
MB-4601	1.0460579
MB-4603	1.091399461
MB-4607	0.365015237
MB-4616	0.000276036
MB-4618	0.309711584
MB-4621	-2.440197334
MB-4622	0.84857806
MB-4623	1.168086422
MB-4626	2.132639696
MB-4627	-0.563414932
MB-4630	0.333202704
MB-4633	0.084965574
MB-4634	-0.14820603
MB-4639	1.229178839
MB-4640	0.377912051
MB-4641	-0.932946953
MB-4642	0.886443571
MB-4643	0.538911154
MB-4644	0.034024339
MB-4648	-0.550622185
MB-4649	1.274681617
MB-4651	-1.254894792
MB-4653	0.400408849
MB-4654	-0.431537406
MB-4655	1.730252571
MB-4660	0.092210769
MB-4661	-0.05915377
MB-4663	1.27424461
MB-4665	0.968323817
MB-4666	0.551941471
MB-4667	-1.829415133
MB-4669	-1.881116025
MB-4670	-1.004916947
MB-4671	0.395605583
MB-4672	0.171839401
MB-4673	-0.087404029
MB-4674	0.003408853
MB-4675	0.884520505
MB-4679	-0.01345816
MB-4681	-0.093490408
MB-4682	0.780110661
MB-4685	1.27924433
MB-4686	0.056299844
MB-4687	0.650818148
MB-4688	1.111005364
MB-4691	1.408808744
MB-4692	-0.176309874
MB-4694	1.181406298
MB-4695	-0.430480112
MB-4696	-1.149000139
MB-4698	-0.531955691
MB-4701	-0.337120826
MB-4702	0.426796108
MB-4704	-1.075327164
MB-4705	-0.480741124
MB-4706	0.228410403
MB-4707	0.082961133
MB-4708	-0.539923668
MB-4709	-0.233982755
MB-4710	-0.477505563
MB-4711	-0.376846778
MB-4712	0.200451521
MB-4714	1.029524246
MB-4715	1.879279585
MB-4716	-0.714491305
MB-4717	2.23465916
MB-4718	-1.770812954
MB-4719	0.445151963
MB-4721	-1.108555676
MB-4722	0.107543424
MB-4723	0.08481463
MB-4724	1.120090014
MB-4725	-0.357554887
MB-4729	-0.071633561
MB-4730	0.052601099
MB-4731	0.408099534
MB-4732	-0.781030945
MB-4733	-0.090868944
MB-4735	1.040432809
MB-4737	0.7754848
MB-4738	-0.722420918
MB-4739	-1.068122666
MB-4741	0.397583846
MB-4742	-0.196182319
MB-4743	-0.302861889
MB-4744	0.946525165
MB-4745	0.115125543
MB-4746	-0.77190178
MB-4749	-0.725236059
MB-4750	-0.93239335
MB-4752	-0.349331538
MB-4757	0.610176735
MB-4758	-2.207111796
MB-4760	0.305722385
MB-4762	0.29791628
MB-4763	0.876724531
MB-4764	0.500035159
MB-4767	-0.482278488
MB-4769	1.182390367
MB-4770	-0.040875687
MB-4771	0.355778496
MB-4778	-1.605811
MB-4779	-1.097143901
MB-4782	-0.07519426
MB-4784	1.208175528
MB-4785	-0.983490453
MB-4787	1.019007638
MB-4790	-0.20645125
MB-4791	-0.038820877
MB-4792	-0.362006951
MB-4793	-1.962908973
MB-4794	1.032800498
MB-4796	-0.758727707
MB-4797	-1.08829149
MB-4798	-0.345396609
MB-4800	0.96207723
MB-4801	-0.186183352
MB-4802	1.678844296
MB-4805	0.430859936
MB-4806	0.280344159
MB-4809	-0.808193093
MB-4814	-0.681031531
MB-4818	-1.030749392
MB-4820	-1.353056447
MB-4822	0.068536527
MB-4825	-1.261564655
MB-4827	0.802083178
MB-4828	0.032443582
MB-4829	-1.11731822
MB-4832	-0.947152733
MB-4834	0.432493594
MB-4836	2.222625922
MB-4838	0.996593725
MB-4839	-1.345977121
MB-4843	-0.776706596
MB-4845	-0.422352134
MB-4846	-0.054867492
MB-4849	1.588595987
MB-4851	-0.824954866
MB-4853	0.403447601
MB-4855	-0.161094285
MB-4858	-1.407169637
MB-4859	0.691921385
MB-4860	-0.743818618
MB-4862	-0.254164789
MB-4865	-1.247227132
MB-4866	0.127710056
MB-4867	-1.232071216
MB-4869	0.091568384
MB-4870	-0.657124362
MB-4871	-1.682183252
MB-4872	-0.760462883
MB-4873	0.130983688
MB-4876	-0.237437001
MB-4878	-0.442008613
MB-4879	-0.533336033
MB-4880	1.462637372
MB-4881	0.648290948
MB-4882	0.672205219
MB-4883	-0.250101423
MB-4886	0.720755099
MB-4887	-1.19910371
MB-4888	0.478435194
MB-4893	-0.197838636
MB-4894	0.87975484
MB-4896	-0.443884042
MB-4897	-0.310309261
MB-4898	0.038641967
MB-4899	-0.980418173
MB-4900	0.636430529
MB-4904	0.342950839
MB-4906	1.266204526
MB-4908	-1.593880464
MB-4911	-0.28744861
MB-4912	-0.246388528
MB-4925	0.370304361
MB-4928	0.177632002
MB-4929	-0.194220647
MB-4930	0.98931683
MB-4931	1.857169068
MB-4933	-1.096181317
MB-4934	-0.691000214
MB-4935	0.104231189
MB-4937	0.187607645
MB-4938	0.91226159
MB-4941	2.419224971
MB-4942	-2.694154981
MB-4944	0.419632633
MB-4945	1.364063056
MB-4949	0.292599967
MB-4950	0.97375193
MB-4952	0.29827628
MB-4956	1.89291531
MB-4957	0.320591092
MB-4959	-1.279748352
MB-4961	-0.134227874
MB-4962	0.804402876
MB-4965	-0.262896231
MB-4966	-0.601012904
MB-4967	-0.031666907
MB-4968	-0.146626041
MB-4969	1.301289243
MB-4970	0.81958568
MB-4974	1.305872739
MB-4976	-0.44012
MB-4977	0.422197014
MB-4978	0.064463626
MB-4981	0.751801668
MB-4982	-0.054945631
MB-4986	1.741814153
MB-4987	0.334712141
MB-4991	0.582247493
MB-4992	-0.547646969
MB-4993	1.516849917
MB-4994	-0.740123896
MB-4996	0.37335252
MB-4998	1.762394795
MB-4999	1.037618314
MB-5001	0.585843787
MB-5004	0.845728527
MB-5008	-0.212624891
MB-5011	-0.433981267
MB-5013	-0.00033704
MB-5014	-0.426186123
MB-5015	0.406909028
MB-5017	-1.135423348
MB-5018	0.225678279
MB-5019	2.437035294
MB-5020	1.122365007
MB-5027	-0.410243077
MB-5033	0.620680525
MB-5035	-0.347384411
MB-5039	-0.054867492
MB-5040	0.43456959
MB-5041	-0.189771006
MB-5043	-0.24877
MB-5044	-0.383482991
MB-5045	-0.940001412
MB-5048	1.662689147
MB-5049	2.540844368
MB-5050	-0.571925583
MB-5052	-0.686643671
MB-5053	-0.908452377
MB-5054	0.89060935
MB-5057	-0.485007818
MB-5058	0.14892126
MB-5059	-0.12281221
MB-5060	-0.348090279
MB-5061	-0.080975253
